# source: IEA-HSMR-2021
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Hydropower Capacity` criterion.
variable,year,region,unit,value
Capacity|Electricity|Hydro,2030,ABW,GW,0.0
Capacity|Electricity|Hydro,2030,AFG,GW,0.0
Capacity|Electricity|Hydro,2030,AGO,GW,12.012
Capacity|Electricity|Hydro,2030,AIA,GW,0.0
Capacity|Electricity|Hydro,2030,ALA,GW,0.0
Capacity|Electricity|Hydro,2030,ALB,GW,5.096
Capacity|Electricity|Hydro,2030,AND,GW,0.0
Capacity|Electricity|Hydro,2030,ARE,GW,0.987
Capacity|Electricity|Hydro,2030,ARG,GW,28.336
Capacity|Electricity|Hydro,2030,ARM,GW,0.0
Capacity|Electricity|Hydro,2030,ASM,GW,0.0
Capacity|Electricity|Hydro,2030,ATA,GW,0.0
Capacity|Electricity|Hydro,2030,ATF,GW,0.0
Capacity|Electricity|Hydro,2030,ATG,GW,0.0
Capacity|Electricity|Hydro,2030,AUS,GW,21.14
Capacity|Electricity|Hydro,2030,AUT,GW,28.91
Capacity|Electricity|Hydro,2030,AZE,GW,0.0
Capacity|Electricity|Hydro,2030,BDI,GW,0.0
Capacity|Electricity|Hydro,2030,BEL,GW,2.324
Capacity|Electricity|Hydro,2030,BEN,GW,0.0
Capacity|Electricity|Hydro,2030,BES,GW,0.0
Capacity|Electricity|Hydro,2030,BFA,GW,0.0
Capacity|Electricity|Hydro,2030,BGD,GW,0.0
Capacity|Electricity|Hydro,2030,BGR,GW,0.0
Capacity|Electricity|Hydro,2030,BHR,GW,0.0
Capacity|Electricity|Hydro,2030,BHS,GW,0.0
Capacity|Electricity|Hydro,2030,BIH,GW,6.342
Capacity|Electricity|Hydro,2030,BLM,GW,0.0
Capacity|Electricity|Hydro,2030,BLR,GW,0.0
Capacity|Electricity|Hydro,2030,BLZ,GW,0.0
Capacity|Electricity|Hydro,2030,BMU,GW,0.0
Capacity|Electricity|Hydro,2030,BOL,GW,3.822
Capacity|Electricity|Hydro,2030,BRA,GW,206.304
Capacity|Electricity|Hydro,2030,BRB,GW,0.0
Capacity|Electricity|Hydro,2030,BRN,GW,0.0
Capacity|Electricity|Hydro,2030,BTN,GW,0.0
Capacity|Electricity|Hydro,2030,BVT,GW,0.0
Capacity|Electricity|Hydro,2030,BWA,GW,0.0
Capacity|Electricity|Hydro,2030,CAF,GW,0.0
